DATE,CPIAUCSL_NBD20110101
2003-01-01,81.80577
2004-01-01,83.98800
2005-01-01,86.81490
2006-01-01,89.61215
2007-01-01,92.18451
2008-01-01,95.70131
2009-01-01,95.39472
2010-01-01,96.95592
2011-01-01,100.00000
