"names","waves"
"V12293","1985"
"V13500","1986"
"V14547","1987"
"V16021","1988"
"V17418","1989"
"V18749","1990"
"V20049","1991"
"V21355","1992"
"V23212","1993"
"ER3883","1994"
"ER6753","1995"
"ER8999","1996"
"ER11760","1997"
"ER15836","1999"
"ER19897","2001"
"ER23334","2003"
"ER27297","2005"
"ER40472","2007"
"ER46449","2009"
"ER51810","2011"
"ER57549","2013"
"ER64671","2015"
"ER70744","2017"
"ER76752","2019"
